id,segcode,bmp,emp,year
54001,001010,0,6.3,2012
54002,001010,6.3,12.6,2012
54003,001010,12.6,17.612,2012
54004,001010,17.612,26.349,2012
54005,001010,26.349,26.71,2012
54006,001010,26.71,27.614,2012
54007,001010,27.614,28.3,2012
54008,001010,28.3,28.475,2012
54009,001010,28.475,36.016,2012
54010,001010,36.016,38.715,2012
54011,001010,38.715,41.331,2012
54012,001010,41.331,41.78,2012
54013,001010,41.78,42.197,2012
54014,001010,42.197,43.8,2012
54015,001010,43.8,44.457,2012
54016,001010,44.457,44.739,2012
54017,001010,44.739,45.981,2012
54018,001010,45.981,46.808,2012
54019,001010,46.808,48.54,2012
54020,001010,48.54,49.15,2012
54021,001010,49.15,49.271,2012
54022,001010,49.271,49.728,2012
54023,001010,49.728,50.205,2012
54024,001010,50.205,50.511,2012
54025,001010,50.511,51.197,2012
54026,001010,51.197,51.827,2012
54027,001010,51.827,54.83,2012
54028,001010,54.83,60.154,2012
54029,001010,60.154,70.15,2012
54030,001010,70.15,76.25,2012
54031,001010,76.25,82.337,2012
54032,001010,82.337,90.023,2012
54033,001010,90.023,94.608,2012
54034,001010,94.608,94.749,2012
54035,001010,94.749,103.51,2012
54036,001010,103.51,109.086,2012
54037,001010,109.086,114.467,2012
54038,001010,114.513,121.189,2012
54039,001010,121.189,128.053,2012
54040,001010,128.053,129.034,2012
54041,001010,129.034,129.901,2012
54042,001010,129.901,132.28,2012
54043,001010,132.28,132.944,2012
54044,001010,132.944,136.031,2012
54045,001010,136.031,137.741,2012
54046,001010,137.741,140.858,2012
54047,001010,140.858,149.509,2012
54048,001010,149.509,154.008,2012
54049,001010,154.008,157.328,2012
54050,001010,157.328,164.7,2012
54051,001010,164.7,169.928,2012
54052,001010,169.928,170.227,2012
54053,001010,170.227,172.152,2012
54054,001010,172.152,172.86,2012
54055,001010,172.86,173.343,2012
54056,001010,173.343,181.237,2012
54057,001010,181.237,181.818,2012
54058,001010,181.818,187.975,2012
54059,001010,187.975,194.122,2012
54060,001010,194.122,201.089,2012
