id,route,milepost_from,segment_from,milepost_to,segment_to,effective_date,jurisdiction_left,jurisdiction_left_code,jurisdiction_right,jurisdiction_right_code,comments,user_update,year
52400,I015 R 003 S OF,0,001402,0.37,001402,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52401,I015 R 003 S ON,0,001403,0.352,001403,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52402,I015 R 013 N OF,0,001404,0.364,001404,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52403,I015 R 013 N ON,0,001405,0.441,001405,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52404,I015 R 013 S OF,0,001406,0.392,001406,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52405,I015 R 013 S ON,0,001407,0.271,001407,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52406,I015 R 017 N OF,0,001408,0.214,001408,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52407,I015 R 017 N ON,0,001409,0.254,001409,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52408,I015 R 017 S OF,0,001410,0.19,001410,1/1/1978,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52409,I015 R 017 S ON,0,001411,0.218,001411,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52410,I015 R 022 N OF,0,001412,0.278,001412,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52411,I015 R 022 N ON,0,001413,0.606,001413,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52412,I015 R 022 S OF,0,001414,0.356,001414,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52413,I015 R 022 S ON,0,001415,0.335,001415,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52414,I015 R 031 N OF,0,001416,0.431,001416,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52415,I015 R 031 N ON,0,001417,0.345,001417,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52416,I015 R 031 S OF,0,001418,0.382,001418,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52417,I015 R 031 S ON,0,001419,0.407,001419,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52418,I015 R 036 N OF,0,001420,0.279,001420,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52419,I015 R 036 N ON,0,001421,0.597,001421,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52420,I015 R 036 S OF,0,001422,0.267,001422,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52421,I015 R 036 S ON,0,001423,0.333,001423,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52422,I015 R 040 N OF,0,001425,0.265,001425,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52423,I015 R 040 N ON,0,001426,0.325,001426,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52424,I015 R 040 S OF,0,001427,0.298,001427,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52425,I015 R 040 S ON,0,001428,0.3,001428,1/1/1978,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52426,I015 R 044 N OF,0,001429,0.239,001429,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52427,I015 R 044 N ON,0,001430,0.273,001430,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52428,I015 R 044 S OF,0,001431,0.227,001431,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52429,I015 R 044 S ON,0,001432,0.259,001432,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52430,I015 R 047 N OF,0,001433,0.262,001433,6/4/2012,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52431,I015 R 047 N ON,0,001434,0.364,001434,10/13/2011,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52432,I015 R 047 S OF,0,001435,0.271,001435,10/13/2011,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52433,I015 R 047 S ON,0,001436,0.304,001436,6/4/2012,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52434,I015 R 057 N OF,0,001438,0.453,001438,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
52435,I015 R 057 S ON,0,001439,0.348,001439,1/1/2010,ITD District 5,3815,ITD District 5,3815,,SYSTEM,2013
