id,segcode,bmp,emp,dir,cracking,year
61112,001330,59.011,63.2,A,4.5,2000
61102,001330,8.123,16.229,A,3.3,2000
61103,001330,16.229,21.54,A,3.8,2000
61107,001330,36.15,39.2,A,2.4,2000
61108,001330,39.2,46.67,A,3.9,2000
61119,001330,71.598,72.61,A,4,2000
61106,001330,30.87,36.15,A,3.5,2000
61109,001330,46.67,54.8,A,5,2000
61118,001330,71.019,71.598,A,5,2000
61101,001330,0,8.123,A,3,2000
61105,001330,24.936,30.87,A,4,2000
61111,001330,57.4,59.011,A,4.5,2000
61117,001330,69.378,71.019,A,3.4,2000
61104,001330,21.54,24.936,A,3,2000
61114,001330,64.247,66.378,A,4.5,2000
61113,001330,63.2,64.247,A,4.5,2000
61116,001330,68.763,69.378,A,4.6,2000
61110,001330,54.8,57.4,A,4.5,2000
61115,001330,66.378,68.763,A,4.5,2000
61129,001330,97.115,100.5,A,5,2000
61134,001330,119.5,121.092,A,4.9,2000
61122,001330,76.01,81.9,A,5,2000
61135,001330,121.092,128,A,5,2000
61123,001330,81.9,85.6,A,4,2000
61138,001330,143.4,149.92,A,5,2000
61120,001330,72.61,75.182,A,2.2,2000
61132,001330,111.859,117.247,A,5,2000
61121,001330,75.182,76.01,A,2.3,2000
61136,001330,128,135.148,A,5,2000
61133,001330,117.247,119.5,A,5,2000
61125,001330,89.2,90.395,A,5,2000
61131,001330,106.5,111.859,A,4.6,2000
61139,001330,149.92,158.86,A,2.8,2000
61124,001330,85.6,89.2,A,4.8,2000
61126,001330,90.395,92.5,A,5,2000
61127,001330,92.5,95.984,A,4.8,2000
61128,001330,95.984,97.115,A,5,2000
61130,001330,100.5,106.5,A,4.5,2000
61137,001330,135.148,143.4,A,5,2000
61141,001330,163.5,166.503,A,4,2000
61142,001330,166.503,167.66,A,3.5,2000
61140,001330,158.86,163.5,A,2.5,2000
61149,001330,183.9,184.9,A,5,2000
61146,001330,179.5,181.21,A,2.4,2000
61157,001330,30.87,36.15,D,3.5,2000
61145,001330,178.75,179.5,A,5,2000
61156,001330,24.936,30.87,D,4,2000
61144,001330,173,178.75,A,5,2000
61152,001330,0,8.123,D,3,2000
61154,001330,16.229,21.54,D,3.8,2000
61148,001330,183.4,183.9,A,5,2000
61151,001330,189.86,196,A,5,2000
61147,001330,181.21,183.4,A,3,2000
61158,001330,36.15,39.2,D,2.4,2000
61153,001330,8.123,16.229,D,3.3,2000
61159,001330,39.2,46.67,D,3.9,2000
61143,001330,167.66,173,A,4.8,2000
61155,001330,21.54,24.936,D,3,2000
61150,001330,184.9,189.86,A,5,2000
61165,001330,64.247,66.378,D,4.5,2000
61160,001330,46.67,54.8,D,5,2000
61177,001330,90.395,92.5,D,5,2000
61176,001330,89.2,90.395,D,5,2000
61171,001330,72.61,75.182,D,2.2,2000
61163,001330,59.011,63.2,D,4.5,2000
61170,001330,71.598,72.61,D,4,2000
61175,001330,85.6,89.2,D,4.8,2000
61174,001330,81.9,85.6,D,4,2000
61178,001330,92.5,95.984,D,4.8,2000
61164,001330,63.2,64.247,D,4.5,2000
61172,001330,75.182,76.01,D,2.3,2000
61166,001330,66.378,68.763,D,4.5,2000
61173,001330,76.01,81.9,D,5,2000
61162,001330,57.4,59.011,D,4.5,2000
61161,001330,54.8,57.4,D,4.5,2000
61169,001330,71.019,71.598,D,5,2000
61167,001330,68.763,69.378,D,4.6,2000
61179,001330,95.984,97.115,D,5,2000
61168,001330,69.378,71.019,D,3.4,2000
61180,001330,97.115,100.5,D,5,2000
61190,001330,149.92,158.86,D,2.8,2000
61187,001330,128,135.148,D,5,2000
61188,001330,135.148,143.4,D,5,2000
61185,001330,119.5,121.092,D,4.9,2000
61192,001330,163.5,166.503,D,4,2000
61183,001330,111.859,117.247,D,5,2000
61199,001330,183.4,183.9,D,5,2000
61197,001330,179.5,181.21,D,2.4,2000
61196,001330,178.75,179.5,D,5,2000
61182,001330,106.5,111.859,D,4.6,2000
61193,001330,166.503,167.66,D,3.5,2000
61194,001330,167.66,173,D,4.8,2000
61198,001330,181.21,183.4,D,3,2000
61181,001330,100.5,106.5,D,4.5,2000
61191,001330,158.86,163.5,D,2.5,2000
61189,001330,143.4,149.92,D,5,2000
61186,001330,121.092,128,D,5,2000
61195,001330,173,178.75,D,5,2000
61184,001330,117.247,119.5,D,5,2000
61210,001370,4.244,4.454,N,5,2000
61200,001330,183.9,184.9,D,5,2000
61205,001370,2.4,2.807,N,5,2000
61216,001380,6.315,6.589,N,5,2000
61207,001370,3.331,3.659,N,4.8,2000
61215,001380,5.888,6.315,N,5,2000
61214,001380,5.536,5.888,N,5,2000
61211,001370,4.454,4.802,D,5,2000
61219,001350,0,0.55,N,4.7,2000
61213,001380,5.104,5.536,N,5,2000
61209,001370,3.983,4.244,N,5,2000
61202,001330,189.86,196,D,5,2000
61206,001370,2.807,3.331,N,5,2000
61212,001380,4.526,5.104,N,3,2000
61203,001370,4.454,4.802,A,5,2000
61201,001330,184.9,189.86,D,5,2000
61218,001380,6.85,7.23,N,4,2000
61208,001370,3.659,3.983,N,5,2000
61217,001380,6.589,6.85,N,4,2000
61204,001370,0,2.4,N,3,2000
61233,001360,3.234,4.24,N,1.9,2000
61221,001340,0,2.071,N,3.8,2000
61227,001360,4.24,4.477,A,3,2000
61236,001360,0,0.695,D,5,2000
61232,001360,2.69,3.234,N,1.9,2000
61237,001360,4.24,4.477,D,3,2000
61231,001360,2.34,2.69,N,1.8,2000
61220,001350,0.55,1,N,5,2000
61223,001340,3.213,3.61,N,4,2000
61226,001360,0,0.695,A,5,2000
61239,001371,4.193,4.244,N,2.3,2000
61235,001360,4.983,5.331,N,2.2,2000
61224,001340,3.61,4.043,N,5,2000
61238,001371,3.705,4.193,N,5,2000
61234,001360,4.477,4.983,N,2.4,2000
61230,001360,1.87,2.34,N,2.4,2000
61228,001360,0.695,1,N,5,2000
61229,001360,1,1.87,N,2,2000
61225,001340,4.043,4.338,N,3,2000
61222,001340,2.071,3.213,N,3.5,2000
61255,001010,32.656,35.987,A,3,2000
61242,001361,2.349,2.691,N,2.1,2000
61249,001010,26.007,26.352,A,2,2000
61244,001010,0,5.942,A,5,2000
61253,001010,27.928,28.299,A,4,2000
61259,001010,42.033,43.035,A,4.7,2000
61252,001010,27.614,27.928,A,3.5,2000
61251,001010,26.71,27.614,A,4.5,2000
61243,001361,2.691,3.26,N,2,2000
61248,001010,24.861,26.007,A,2.9,2000
61246,001010,12.596,17.652,A,2.2,2000
61241,001361,1.184,2.349,N,2.2,2000
61240,001361,0.695,1.184,N,2,2000
61250,001010,26.352,26.71,A,5,2000
61256,001010,35.987,38.542,A,3,2000
61247,001010,17.652,24.861,A,2.4,2000
61245,001010,5.942,12.596,A,5,2000
61258,001010,40.01,42.033,A,5,2000
61257,001010,38.542,40.01,A,4.5,2000
61254,001010,28.299,32.656,A,2,2000
61277,001010,90.025,93.516,A,4,2000
61260,001010,43.035,44.739,A,5,2000
61275,001010,79.787,82.337,A,2.9,2000
61264,001010,49.15,49.271,A,4.8,2000
61270,001010,57.852,59.933,A,2.8,2000
61276,001010,82.337,90.025,A,4.5,2000
61278,001010,93.516,96.175,A,4.8,2000
61268,001010,53.33,54.26,A,2.5,2000
61271,001010,59.933,63.534,A,2.5,2000
61262,001010,45.981,46.808,A,4.5,2000
61279,001010,96.175,99.582,A,4.8,2000
61269,001010,54.26,57.852,A,2.6,2000
61273,001010,70.155,72.602,A,2.8,2000
61265,001010,49.271,50.205,A,3.5,2000
61261,001010,44.739,45.981,A,3,2000
61267,001010,51.827,53.33,A,2.5,2000
61263,001010,46.808,49.15,A,5,2000
61272,001010,63.534,70.155,A,2.3,2000
61266,001010,50.205,51.827,A,3,2000
61274,001010,72.602,79.787,A,2.7,2000
61286,001010,121.189,128.208,A,2.1,2000
61291,001010,148.225,149.509,A,4,2000
61296,001010,164.701,168.386,A,4,2000
61299,001010,173.493,176.631,A,4.6,2000
61293,001010,156.19,156.202,A,5,2000
61288,001010,132.283,136.031,A,3.5,2000
61292,001010,149.509,156.19,A,4,2000
61281,001010,106.874,109.086,A,5,2000
61280,001010,99.582,106.874,A,4.9,2000
61290,001010,140.921,148.225,A,3.5,2000
61284,001010,114.513,120.537,A,2.8,2000
61295,001010,161.33,164.701,A,4.5,2000
61298,001010,172.272,173.493,A,4.5,2000
61297,001010,168.386,172.272,A,3.7,2000
61294,001010,156.202,161.33,A,4.5,2000
61289,001010,136.031,140.921,A,4.5,2000
61283,001010,114.388,114.467,A,2.8,2000
61287,001010,128.208,132.283,A,3.5,2000
61282,001010,109.086,114.467,A,4.3,2000
61285,001010,120.537,121.189,A,2.4,2000
61301,001010,181.252,188.001,A,2.5,2000
61311,001010,229.349,229.539,A,2.4,2000
61300,001010,176.631,181.252,A,5,2000
61307,001010,211.165,215.974,A,3.8,2000
61312,001010,229.539,239.399,A,2.4,2000
61318,001010,263.108,268.988,A,4.6,2000
61303,001010,194.127,200.497,A,4.7,2000
61309,001010,222.476,228.018,A,5,2000
61315,001010,252.938,254.25,A,2.5,2000
61302,001010,188.001,194.127,A,3.5,2000
61306,001010,207.682,211.165,A,4,2000
61304,001010,200.497,207.211,A,4.5,2000
61314,001010,244.804,252.938,A,3.5,2000
61305,001010,207.211,207.682,A,5,2000
61316,001010,254.25,261.011,A,5,2000
61310,001010,228.018,229.349,A,5,2000
61313,001010,239.399,244.804,A,3.5,2000
61317,001010,261.011,263.108,A,5,2000
61308,001010,215.974,222.476,A,3.8,2000
61319,001010,268.988,275.65,A,5,2000
61335,001010,42.033,43.035,D,4.7,2000
61326,001010,26.352,26.71,D,5,2000
61332,001010,35.987,38.542,D,3,2000
61328,001010,27.614,27.928,D,3.5,2000
61327,001010,26.71,27.614,D,4.5,2000
61325,001010,26.007,26.352,D,2,2000
61339,001010,46.808,49.15,D,5,2000
61336,001010,43.035,44.739,D,5,2000
61333,001010,38.542,40.01,D,4.5,2000
61337,001010,44.739,45.981,D,3,2000
61338,001010,45.981,46.808,D,4.5,2000
61334,001010,40.01,42.033,D,5,2000
61323,001010,17.652,24.861,D,2.4,2000
61324,001010,24.861,26.007,D,2.9,2000
61321,001010,5.942,12.596,D,5,2000
61322,001010,12.596,17.652,D,2.2,2000
61330,001010,28.299,32.656,D,2,2000
61320,001010,0,5.942,D,5,2000
61329,001010,27.928,28.299,D,4,2000
61331,001010,32.656,35.987,D,3,2000
61349,001010,70.155,72.602,D,2.8,2000
61359,001010,114.388,114.467,D,2.8,2000
61357,001010,106.874,109.086,D,5,2000
61355,001010,96.175,99.582,D,4.8,2000
61341,001010,49.271,50.205,D,3.5,2000
61346,001010,57.852,59.933,D,2.8,2000
61354,001010,93.516,96.175,D,4.8,2000
61343,001010,51.827,53.33,D,2.5,2000
61342,001010,50.205,51.827,D,3,2000
61345,001010,54.26,57.852,D,2.6,2000
61353,001010,90.025,93.516,D,4,2000
61351,001010,79.787,82.337,D,2.9,2000
61347,001010,59.933,63.534,D,2.5,2000
61358,001010,109.086,114.467,D,4.3,2000
61340,001010,49.15,49.271,D,4.8,2000
61352,001010,82.337,90.025,D,4.5,2000
61350,001010,72.602,79.787,D,2.7,2000
61344,001010,53.33,54.26,D,2.5,2000
61348,001010,63.534,70.155,D,2.3,2000
61356,001010,99.582,106.874,D,4.9,2000
61366,001010,140.921,148.225,D,3.5,2000
61368,001010,149.509,156.19,D,4,2000
61379,001010,194.127,200.497,D,4.7,2000
61375,001010,173.493,176.631,D,4.6,2000
61365,001010,136.031,140.921,D,4.5,2000
61378,001010,188.001,194.127,D,3.5,2000
61374,001010,172.272,173.493,D,4.5,2000
61373,001010,168.386,172.272,D,3.7,2000
61360,001010,114.513,120.537,D,2.8,2000
61363,001010,128.208,132.283,D,3.5,2000
61377,001010,181.252,188.001,D,2.5,2000
61364,001010,132.283,136.031,D,3.5,2000
61371,001010,161.33,164.701,D,4.5,2000
61367,001010,148.225,149.509,D,4,2000
61362,001010,121.189,128.208,D,2.1,2000
61372,001010,164.701,168.386,D,4,2000
61369,001010,156.19,156.202,D,5,2000
61370,001010,156.202,161.33,D,4.5,2000
61376,001010,176.631,181.252,D,5,2000
61361,001010,120.537,121.189,D,2.4,2000
61383,001010,211.165,215.974,D,3.8,2000
61388,001010,229.539,239.399,D,2.4,2000
61381,001010,207.211,207.682,D,5,2000
61385,001010,222.476,228.018,D,5,2000
61395,001010,268.988,275.65,D,5,2000
61396,002240,138.6,138.97,N,3.5,2000
61382,001010,207.682,211.165,D,4,2000
61398,002040,171.544,172.595,N,3.5,2000
61390,001010,244.804,252.938,D,3.5,2000
61394,001010,263.108,268.988,D,4.6,2000
61399,002290,23.59,24.106,A,5,2000
61380,001010,200.497,207.211,D,4.5,2000
61389,001010,239.399,244.804,D,3.5,2000
61397,002040,169.447,171.544,N,3.5,2000
61384,001010,215.974,222.476,D,3.8,2000
61393,001010,261.011,263.108,D,5,2000
61391,001010,252.938,254.25,D,2.5,2000
61392,001010,254.25,261.011,D,5,2000
61386,001010,228.018,229.349,D,5,2000
61387,001010,229.349,229.539,D,2.4,2000
61400,002290,21.807,22.44,N,2.9,2000
61406,004635,0.15,0.94,N,2.4,2000
61414,001020,2.002,3.4,N,2.4,2000
61411,001030,0,1.08,N,3.3,2000
61412,001030,1.08,3.178,N,2,2000
61415,001020,3.4,3.644,N,2.7,2000
61402,002290,22.69,23.256,N,5,2000
61401,002290,22.44,22.69,N,3.6,2000
61413,001020,0,2.002,N,2.7,2000
61407,001040,0,0.59,N,4.1,2000
61403,002290,23.256,23.59,N,4.7,2000
61408,001050,0.221,0.464,N,1.7,2000
61410,001050,0.95,1.408,N,3.8,2000
61405,004635,0,0.15,N,4.5,2000
61417,002170,93.538,94.233,N,2,2000
61418,002170,94.233,94.773,N,2.5,2000
61404,002290,23.59,24.106,D,5,2000
61419,002170,94.773,95.173,N,3.8,2000
61409,001050,0.464,0.95,N,1.7,2000
61416,001020,3.644,4.116,N,2.8,2000
61430,002040,55.199,55.64,N,5,2000
61436,002040,57.935,58.386,N,5,2000
61420,002170,95.173,95.308,N,4,2000
61425,002040,50.664,51.057,N,2.2,2000
61426,002040,51.057,51.475,N,2.1,2000
61437,002040,58.386,58.67,N,5,2000
61429,002040,53.002,55.199,N,5,2000
61435,002040,57.633,57.935,N,3,2000
61424,002040,50.08,50.664,N,5,2000
61431,002040,55.64,55.755,N,5,2000
61427,002040,51.475,51.868,N,2,2000
61433,002040,55.942,56.919,N,2,2000
61421,002040,59.356,59.846,A,1.9,2000
61423,002051,19.875,20.52,N,5,2000
61422,002052,19.68,19.875,N,4,2000
61428,002040,51.868,53.002,N,5,2000
61439,002040,58.988,59.356,N,5,2000
61438,002040,58.67,58.988,N,4.5,2000
61434,002040,56.919,57.633,N,2,2000
61432,002040,55.755,55.942,N,2.5,2000
61456,002041,50.851,51.46,N,1.9,2000
61448,002040,258.088,258.801,N,2.5,2000
61441,002040,60.166,60.568,N,5,2000
61445,002040,260.817,261.754,A,5,2000
61452,002040,260.817,261.754,D,5,2000
61444,002040,59.356,59.846,D,1.9,2000
61458,002042,57.64,57.904,N,4.5,2000
61449,002040,258.801,259.547,N,5,2000
61443,002040,61.012,61.797,N,3.2,2000
61447,002040,257.95,258.088,N,2.5,2000
61450,002040,259.547,259.736,N,5,2000
61442,002040,60.568,61.012,N,3,2000
61446,002040,257.481,257.95,N,2.1,2000
61453,002050,19.915,20.181,N,5,2000
61455,002041,50.05,50.851,N,3,2000
61457,001021,3.644,4.062,N,3,2000
61459,002042,57.904,58.67,N,5,2000
61454,002050,20.181,20.54,N,5,2000
61440,002040,59.846,60.166,N,5,2000
61451,002040,259.736,260.817,N,5,2000
61467,001260,35.853,38.236,A,4,2000
