id,pc_id,tier_id
8,158,150
13,163,200
4,154,150
5,155,150
19,169,250
11,161,200
16,166,50
1,151,150
14,164,250
18,168,150
6,156,150
7,157,200
3,153,50
10,160,250
17,167,150
12,162,200
2,152,150
9,159,250
15,165,150
20,170,200
30,180,250
23,173,150
36,186,200
31,181,250
24,174,150
26,176,150
21,171,150
35,185,250
27,177,250
34,184,250
25,175,200
22,172,200
38,188,200
28,178,250
29,179,250
39,189,150
32,182,200
37,187,150
33,183,200
55,205,250
52,202,250
47,197,200
56,206,150
48,198,50
42,192,150
40,190,150
43,193,150
57,207,250
51,201,250
50,200,50
49,199,50
58,208,200
59,209,150
45,195,250
41,191,150
46,196,50
53,203,250
44,194,200
54,204,250
60,210,150
67,217,250
62,212,150
73,223,200
77,227,200
70,220,200
63,213,50
72,222,250
71,221,200
76,226,200
69,219,200
64,214,200
61,211,50
79,229,200
66,216,200
75,225,200
78,228,150
65,215,250
74,224,250
68,218,200
96,246,50
86,236,200
99,249,50
83,233,150
88,238,250
90,240,250
93,243,200
97,247,250
95,245,200
98,248,50
94,244,200
87,237,250
82,232,150
92,242,200
80,230,50
81,231,200
89,239,200
91,241,250
84,234,200
85,235,150
111,261,50
116,266,250
119,269,250
110,260,200
106,256,200
109,259,150
107,257,50
113,263,200
104,254,200
114,264,250
115,265,250
101,251,50
100,250,200
118,268,250
105,255,50
103,253,200
117,267,250
112,262,200
108,258,150
102,252,200
123,273,250
124,274,250
136,286,250
129,279,50
138,288,250
127,277,200
128,278,200
120,270,250
137,287,250
122,272,250
132,282,150
135,285,200
134,284,200
133,283,200
126,276,250
121,271,50
139,289,200
131,281,200
130,280,150
125,275,50
143,293,250
141,291,250
142,292,250
147,297,200
146,296,200
144,294,250
140,290,200
145,295,50
149,299,150
148,298,150
151,301,250
150,300,250
152,302,250
153,303,250
154,304,125
155,305,125
