id,segcode,bmp,emp,direction,numlanes,year
83146,001330,0,8,A,2,2011
83147,001330,8,16.184,A,2,2011
83148,001330,16.184,21.54,A,2,2011
83149,001330,21.54,25,A,2,2011
83150,001330,25,30.87,A,2,2011
83151,001330,30.87,36,A,2,2011
83152,001330,36,39.75,A,2,2011
83153,001330,39.75,46.67,A,2,2011
83154,001330,46.67,54.8,A,2,2011
83155,001330,54.8,57.4,A,2,2011
83156,001330,57.4,63.203,A,2,2011
83157,001330,63.203,66.378,A,2,2011
83158,001330,66.378,69.378,A,2,2011
83159,001330,69.378,71.019,A,2,2011
83160,001330,71.019,72.6,A,2,2011
83161,001330,72.6,76.01,A,2,2011
83162,001330,76.01,81.9,A,2,2011
83163,001330,81.9,85.6,A,2,2011
83164,001330,85.6,89.3,A,2,2011
83165,001330,89.3,92.48,A,2,2011
83166,001330,92.48,95.872,A,2,2011
83167,001330,95.872,97.115,A,2,2011
83168,001330,97.115,100.5,A,2,2011
83169,001330,100.5,106.5,A,2,2011
83170,001330,106.5,111.859,A,2,2011
83171,001330,111.859,119.5,A,2,2011
83172,001330,119.5,127.548,A,2,2011
83173,001330,127.548,135.148,A,2,2011
83174,001330,135.148,142.5,A,2,2011
83175,001330,142.5,150.08,A,2,2011
83176,001330,150.08,159,A,2,2011
83177,001330,159,167.5,A,2,2011
83178,001330,167.5,173.5,A,2,2011
83179,001330,173.5,179.5,A,2,2011
83180,001330,179.5,183.4,A,2,2011
83181,001330,183.4,189.846,A,2,2011
83182,001330,189.846,196,A,2,2011
83183,001330,0,8,D,2,2011
83184,001330,8,16.184,D,2,2011
83185,001330,16.184,21.4,D,2,2011
83186,001330,21.4,25,D,2,2011
83187,001330,25,30.87,D,2,2011
83188,001330,30.87,36,D,2,2011
83189,001330,36,39.75,D,2,2011
83190,001330,39.75,46.67,D,2,2011
83191,001330,46.67,54.8,D,2,2011
83192,001330,54.8,57.4,D,2,2011
83193,001330,57.4,58,D,2,2011
83194,001330,58,63.2,D,2,2011
83195,001330,63.2,63.517,D,2,2011
83196,001330,63.517,66.378,D,2,2011
83197,001330,66.378,69.378,D,2,2011
83198,001330,69.378,71.019,D,2,2011
83199,001330,71.019,72.6,D,2,2011
83200,001330,72.6,76.01,D,2,2011
83201,001330,76.01,80.2,D,2,2011
83202,001330,80.2,81.7,D,2,2011
83203,001330,81.7,85.6,D,2,2011
83204,001330,85.6,89.3,D,2,2011
83205,001330,89.3,92.48,D,2,2011
83206,001330,92.48,92.789,D,2,2011
83207,001330,92.789,95.872,D,2,2011
83208,001330,95.872,97.115,D,2,2011
83209,001330,97.115,100.5,D,2,2011
83210,001330,100.5,106.5,D,2,2011
83211,001330,106.5,111.859,D,2,2011
83212,001330,111.859,119.5,D,2,2011
83213,001330,119.5,128,D,2,2011
83214,001330,128,134.462,D,2,2011
83215,001330,134.462,143.4,D,2,2011
83216,001330,143.4,149.92,D,2,2011
83217,001330,149.92,158.25,D,2,2011
83218,001330,158.25,166.71,D,2,2011
83219,001330,166.71,167.396,D,2,2011
83220,001330,167.396,173.5,D,2,2011
83221,001330,173.5,179.504,D,2,2011
83222,001330,179.504,181.21,D,2,2011
83223,001330,181.21,188.5,D,2,2011
83224,001330,188.5,196,D,2,2011
83225,001370,0,2.18,N,2,2011
83226,001370,2.18,2.4,N,2,2011
83227,001370,2.4,3.659,N,4,2011
83228,001370,3.659,4.244,N,2,2011
83229,001370,4.244,4.454,N,4,2011
83230,001370,4.454,4.802,N,4,2011
83231,001380,4.526,5.1,N,4,2011
83232,001380,5.1,6.315,N,4,2011
83233,001380,6.315,6.589,N,4,2011
83234,001380,6.589,7.23,N,4,2011
83235,030881,103.821,105.259,N,4,2011
83236,020053,105.259,105.403,N,4,2011
83237,001350,0,1,N,2,2011
83238,001340,0,3.147,N,2,2011
83239,001340,3.147,3.61,N,2,2011
83240,001340,3.61,3.842,N,2,2011
83241,001340,3.842,4.338,N,4,2011
83242,001360,0,0.447,A,2,2011
83243,001360,0.679,0.997,A,2,2011
83244,001360,0.997,1.99,A,2,2011
83245,001360,1.99,2.605,A,2,2011
83246,001360,2.605,3.083,A,2,2011
83247,001360,3.083,3.581,A,3,2011
83248,001360,4.459,4.552,A,3,2011
83249,001360,4.856,5.038,A,2,2011
83250,001360,5.318,5.55,A,3,2011
83251,001360,0.447,0.679,N,4,2011
83252,001360,3.581,4.206,N,4,2011
83253,001360,4.206,4.459,N,4,2011
83254,001360,4.552,4.856,N,4,2011
83255,001360,5.038,5.318,N,4,2011
83256,001371,3.705,4.244,D,2,2011
83257,001361,0,0.447,D,2,2011
