id,policy_corridor_name,description
168,1-18,SH 53 Washington - Rathdrum
151,1-01,US 95 Sandpoint - Canada
157,1-07,US 2 US 95 - Montana
162,1-12,SH 3 I 90 - Bovill (crosses into D2)
163,1-13,SH 6 SH 3 - SH 9
153,1-03,I 90 CDA - Montana
156,1-06,US 2 Washington - Sandpoint
160,1-10,SH 97
159,1-09,SH 57
167,1-17,US 95 Coeur d'Alene
165,1-15,SH 41 Rathdrum - Oldtown
164,1-14,SH 1 US 95 - Canada
158,1-08,US 95 District 2 - CDA
161,1-11,SH 5
155,1-05,SH 41 I 90 - Rathdrum & SH 53 Rathdrum - US 95
166,1-16,I-90 Coeur d'Alene
152,1-02,US 95 CDA - Sandpoint
177,2-07,SH 14
186,2-16,SH 6 Washington - SH 9 & SH 66
183,2-13,SH 8 Moscow E - Bovill
178,2-08,SH 11
182,2-12,SH 3 US 12 - Deary & SH 99
188,2-18,US-12 Lewiston
180,2-10,SH 62 & SH 64 & SH 162
185,2-15,SH 8 Bovill - Elk River
174,2-04,US 95 & SH 128 Lewiston
175,2-05,US 12 Lewiston - Montana
171,2-01,US 95 Moscow - D1 Boundary
184,2-14,SH 9
189,3-01,US 95 Payette - D2 Boundary
179,2-09,SH 13
170,1-20,SH 200
173,2-03,US 95 Lewiston - Moscow
172,2-02,SH 8 Moscow
181,2-11,SH 7
176,2-06,US 95 District 3 - Lewiston
187,2-17,US 95 Moscow
196,3-08,I84 Boise - Mountain Home
191,3-03,US 95 Oregon - Payette
200,3-12,I84 Payette - SH 44
201,3-13,SH 51 Nevada - JCT SH 78 E
207,3-19,SH 45 Nampa
206,3-18,SH 55 Caldwell/Nampa
192,3-04,SH 55 Marsing - Caldwell
204,3-16,SH 51 SH 78 E - Mountain Home & SH 78 SH 51 - I 84 Bus Hammett
202,3-14,SH 78 SH 55 - SH 51 & SH 45 SH 78 - Nampa
190,3-02,I 84 Business Nampa/Caldwell
208,3-20,SH 16 SH 44 - Emmett
197,3-09,US 20 Mountain Home - D4 Boundary
203,3-15,SH 67
195,3-07,SH 21 Boise - D4 Boundary
205,3-17,SH 71
193,3-05,SH 44 I 84 - Chinden
194,3-06,SH 55 Boise - New Meadows
199,3-11,I84 Mountain Home - D4 Boundary
209,3-21,US 20 I 84 Caldwell - Boise 13th Street
213,3-25,I 84 Caldwell - Boise
219,3-31,SH 19
214,3-26,SH 69
223,3-35,US 30 & SH 72 & US 95 Spurs Payette & Weiser
215,3-27,I 84 Business Hammett
229,4-06,US 26 Bliss - Shoshone
222,3-34,I 84 Business Glens Ferry
216,3-28,I 84 Business Mountain Home I 84 IC 90 - American Legion Blvd
220,3-32,US 20 Oregon - I 84
228,4-05,US 93 Twin Falls - Shoshone
218,3-30,I-84 Business Mountain Home American Legion Blvd
221,3-33,SH 52
225,4-02,SH 75 Sun Valley/Hailey
211,3-23,I 184 & US 20 Broadway-Chinden Connector
224,4-01,SH 75 Stanley - Sun Valley
226,4-03,SH Shoshone - Sun Valley
217,3-29,SH 51 & SH 67 Mountain Home
227,4-04,US 20 D3 Boundary - Carey
210,3-22,SH 55 I 84 - SH 44 (Eagle Road)
212,3-24,US 20 Boise 13th Street and Broadway
243,4-20,US 93 Shoshone - Arco (crosses D6 boundary)
248,5-01,I 86 District 4 - American Falls
245,4-22,SH 46
249,5-02,I 86 American Falls - Pocatello
242,4-19,SH 25 I 84 IC 165 - I 84 IC 194 & SH 50 & US 30 Twin Falls - Kimberly
235,4-12,US 93 Business Twin Falls & Diagonal Couplets in TF and US-30 E to SH-50
246,4-23,I 86 Begin - D5 Boundary
231,4-08,US 30 I 84 - Twin Falls
236,4-13,US-30/I-84B Burley (east-west)
