id,segcode,bmp,emp,direction,roughness,year
114708,002500,58.9,65.9,N,4,2001
114702,002500,24,28.209,N,3.4,2001
114712,002500,88.2,97.726,N,3.4,2001
114703,002500,28.209,30.6,N,3.4,2001
114718,002500,126.3,130.304,N,3.5,2001
114710,002500,73,82,N,3.7,2001
114711,002500,82,88.2,N,4.2,2001
114719,002500,130.304,135.106,N,3.5,2001
114706,002500,45,51.875,N,3.9,2001
114700,002500,15.15,21.004,N,3.2,2001
114730,004635,0,0.15,N,2.2,2001
114727,002850,0.7,1.31,N,2.5,2001
114736,005320,4.7,16.309,N,2.8,2001
114724,002530,0,0.99,N,3.2,2001
114726,002850,0,0.7,N,3.2,2001
114731,004635,0.15,0.948,N,2.6,2001
114720,002500,135.106,135.645,N,2.6,2001
114723,002520,4.592,9.145,N,3.4,2001
114729,004140,1.43,1.472,N,3.5,2001
114735,005320,4.1,4.7,N,3.6,2001
114732,005320,0,0.852,N,2.9,2001
114733,005320,0.852,2.74,N,3.7,2001
114725,002710,4.709,4.847,N,3.4,2001
114737,005510,100,105.5,N,3.2,2001
114734,005320,3.23,4.1,N,4,2001
114728,004050,0.99,1.15,N,1.5,2001
114721,002510,0,4.23,N,2.5,2001
114722,002520,0,4.592,N,3.2,2001
114738,005510,105.5,112.06,N,3.4,2001
114739,005510,112.06,114.86,N,3.3,2001
114750,006416,344.767,345.017,N,1.6,2001
114742,005510,126.54,131.84,N,2.6,2001
114746,005920,0,0.2,N,1.9,2001
114756,006780,2.093,2.198,N,2.5,2001
114740,005510,114.86,121.55,N,3.4,2001
114744,005510,132.56,133.075,N,2.9,2001
114749,006330,0.551,0.781,N,2.7,2001
114751,006418,0.5,0.67,N,2.4,2001
114741,005510,121.55,126.54,N,3.4,2001
114758,007300,0,0.253,N,2.9,2001
114748,006330,0,0.551,N,2.5,2001
114757,006800,0,0.095,N,2.5,2001
114745,005659,9.97,10,N,1.3,2001
114747,006047,0,0.27,N,2.2,2001
114755,006780,0.511,2.093,N,3.1,2001
114753,006780,0.075,0.125,N,2.5,2001
114743,005510,131.84,132.56,N,3.4,2001
114754,006780,0.375,0.511,N,3.5,2001
114759,007351,47.25,48.505,N,2.5,2001
114752,006780,0,0.075,N,3.8,2001
114764,007995,57.179,62.77,N,3.6,2001
114777,015993,13.79,14.69,N,3.5,2001
114760,007351,48.505,49.681,N,2.2,2001
114768,008605,267.496,273.735,N,3.3,2001
114774,015912,47,47.303,N,3,2001
114767,008605,263.825,267.496,N,3.6,2001
114769,008641,87.523,91.176,N,3.6,2001
114762,007356,199.27,201.684,N,3.4,2001
114761,007352,47.28,49.594,N,2.5,2001
114765,008339,14.781,16.588,A,3.1,2001
114763,007630,0,0.129,N,2.3,2001
114779,015999,56.79,57.34,N,3.2,2001
114766,008339,16.588,20.28,A,2.9,2001
114771,009005,0,0.279,N,2.2,2001
114773,015912,44.645,47,N,3.4,2001
114775,015914,16.094,17.633,N,3.7,2001
114772,015867,0,0.12,N,2.7,2001
114778,015998,4.55,4.82,N,2.5,2001
114770,009004,0,0.509,N,2.7,2001
114776,015914,17.633,19.318,N,3.9,2001
114799,001010,5.968,12.7,D,3.9,2001
114783,016038,14.95,16.03,N,3.4,2001
114786,016039,481.56,481.84,N,4.2,2001
114782,016012,518.34,519.14,N,3.2,2001
114796,025275,87.06,87.232,N,3.1,2001
114795,025275,86.383,86.868,N,3.5,2001
114792,017876,100,100.246,N,3.9,2001
114789,016297,0.01,0.05,N,2.8,2001
114790,016377,30.07,30.62,N,3,2001
114784,016038,17.01,17.83,N,3.3,2001
114798,001010,0,5.968,D,4.1,2001
114780,016002,40.92,41.4,N,2.1,2001
114791,016410,2.74,3.12,N,4.4,2001
114785,016038,19.01,19.37,N,3,2001
114793,025238,0.125,0.375,N,3.4,2001
114797,027614,508.365,509.88,N,4.1,2001
114787,016039,483.73,484.302,N,3.3,2001
114781,016002,42.91,43.42,N,2.9,2001
114794,025246,34.572,34.638,N,1.8,2001
114788,016040,48.63,49.12,N,3.9,2001
114806,001010,27.621,27.893,D,3.6,2001
114808,001010,28.28,32.64,D,3.6,2001
114802,001010,24.839,25.991,D,3.4,2001
114801,001010,17.64,24.839,D,3.4,2001
114811,001010,38.47,39.975,D,4.1,2001
114800,001010,12.7,17.64,D,3.1,2001
114814,001010,43,44.689,D,3.6,2001
114809,001010,32.64,35.974,D,3.6,2001
114813,001010,42,43,D,4.1,2001
114816,001010,45.94,46.77,D,3,2001
114803,001010,25.991,26.343,D,2.9,2001
114817,001010,46.77,49.12,D,3.1,2001
114812,001010,39.975,42,D,4,2001
114805,001010,26.7,27.621,D,3,2001
114810,001010,35.974,38.47,D,3.9,2001
114818,001010,49.12,49.351,D,3.1,2001
114807,001010,27.893,28.28,D,4,2001
114804,001010,26.343,26.7,D,3.5,2001
114819,001010,49.351,50.14,D,3.5,2001
114815,001010,44.689,45.94,D,3,2001
114835,001010,106.87,109,D,3.5,2001
114821,001010,51.808,53.317,D,2.8,2001
114827,001010,70.11,72.572,D,3.4,2001
114839,001010,121.094,128.154,D,3.2,2001
114829,001010,79.751,82.23,D,3.6,2001
114831,001010,90.053,93.486,D,4.1,2001
114830,001010,82.23,90.053,D,4.1,2001
114828,001010,72.572,79.751,D,3.6,2001
114833,001010,96.153,99.57,D,4,2001
114838,001010,120.45,121.094,D,3,2001
114823,001010,54.275,57.747,D,2.7,2001
114824,001010,57.747,59.89,D,2.3,2001
114826,001010,63.5,70.11,D,3.3,2001
114832,001010,93.486,96.153,D,3.9,2001
114825,001010,59.89,63.5,D,3.4,2001
114822,001010,53.317,54.275,D,2.7,2001
114820,001010,50.14,51.808,D,3.1,2001
114834,001010,99.57,106.87,D,3.8,2001
114837,001010,114.393,120.45,D,3.5,2001
114836,001010,109,114.485,D,3.2,2001
114840,001010,128.154,132.243,D,4.2,2001
114859,001010,207.75,211.203,D,3.4,2001
114845,001010,149.5,156.2,D,4,2001
114848,001010,161.319,164.699,D,3.7,2001
114852,001010,173.5,176.638,D,3.4,2001
114841,001010,132.243,136,D,4,2001
114857,001010,200.537,207.257,D,3.9,2001
114854,001010,181.252,188.027,D,3.7,2001
114846,001010,156.2,156.213,D,4,2001
114851,001010,172.69,173.5,D,3.3,2001
114849,001010,164.699,168.363,D,3.8,2001
114856,001010,194.16,200.537,D,3.7,2001
114858,001010,207.257,207.75,D,3.5,2001
114843,001010,140.9,148.22,D,4,2001
114844,001010,148.22,149.5,D,3.9,2001
114853,001010,176.638,181.252,D,3.4,2001
114842,001010,136,140.9,D,3.9,2001
114847,001010,156.213,161.319,D,3.7,2001
114850,001010,168.363,172.69,D,3.7,2001
114855,001010,188.027,194.16,D,3.4,2001
114861,001010,216.037,222.48,D,4,2001
114869,001010,254.23,261.016,D,4.2,2001
114862,001010,222.48,228,D,4,2001
114872,001010,269,275.65,D,4.1,2001
114864,001010,229.3,229.5,D,3.1,2001
114873,001260,0,8,D,4,2001
114867,001010,245.2,253,D,4.1,2001
114877,001260,22.6,26.7,D,3.3,2001
114876,001260,17.579,22.6,D,3.2,2001
114868,001010,253,254.23,D,3.8,2001
114865,001010,229.5,239.4,D,3.4,2001
114871,001010,263.1,269,D,4.4,2001
114874,001260,8,14.818,D,3.9,2001
114875,001260,14.818,17.579,D,2.9,2001
114866,001010,239.4,245.2,D,3.7,2001
114870,001010,261.016,263.1,D,4.3,2001
114863,001010,228,229.3,D,4.2,2001
114860,001010,211.203,216.037,D,3.4,2001
114878,001260,26.7,31.97,D,3.5,2001
114879,001260,31.97,35.853,D,3.5,2001
114899,001330,57.4,59.011,D,3.7,2001
114893,001330,24.936,30.87,D,3.8,2001
114883,001260,40.38,45.4,D,3.8,2001
114887,001260,58.509,61.066,D,4,2001
114881,001260,38.236,38.8,D,3.5,2001
114892,001330,21.54,24.936,D,3.8,2001
114886,001260,53.1,58.509,D,3.9,2001
114889,001330,0,8.123,D,2.9,2001
114898,001330,54.8,57.4,D,3.5,2001
114888,001260,61.066,62.85,D,3.6,2001
114890,001330,8.123,16.229,D,3.1,2001
114897,001330,46.67,54.8,D,4,2001
114891,001330,16.229,21.54,D,3.7,2001
114880,001260,35.853,38.236,D,3.9,2001
114882,001260,38.8,40.38,D,3.8,2001
114896,001330,39.2,46.67,D,3.9,2001
114885,001260,48.435,53.1,D,4,2001
114884,001260,45.4,48.435,D,4,2001
114894,001330,30.87,36.15,D,3.3,2001
114895,001330,36.15,39.2,D,4,2001
114909,001330,75.182,76.01,D,3.8,2001
114903,001330,66.378,68.763,D,3.7,2001
114911,001330,81.9,85.6,D,4.3,2001
114906,001330,71.019,71.598,D,3.4,2001
114910,001330,76.01,81.9,D,3.7,2001
114914,001330,90.395,92.5,D,4.1,2001
114902,001330,64.247,66.378,D,4,2001
114908,001330,72.61,75.182,D,3.6,2001
114904,001330,68.763,69.378,D,3.6,2001
114905,001330,69.378,71.019,D,3.5,2001
114907,001330,71.598,72.61,D,3.6,2001
114916,001330,95.984,97.115,D,4.2,2001
114913,001330,89.2,90.395,D,3.9,2001
114912,001330,85.6,89.2,D,3.9,2001
114900,001330,59.011,63.2,D,3.8,2001
114901,001330,63.2,64.247,D,4.1,2001
114915,001330,92.5,95.984,D,3.8,2001
114919,001330,106.5,111.859,D,4.2,2001
114918,001330,100.5,106.5,D,4.2,2001
114917,001330,97.115,100.5,D,4.2,2001
114932,001330,173,178.75,D,4.2,2001
114936,001330,183.4,183.9,D,3.8,2001
114925,001330,135.148,143.4,D,4.1,2001
114930,001330,166.503,167.66,D,3.6,2001
114926,001330,143.4,149.92,D,3.7,2001
114935,001330,181.21,183.4,D,3.7,2001
114923,001330,121.092,128,D,3.9,2001
114931,001330,167.66,173,D,4.1,2001
114939,001330,189.86,196,D,4,2001
114921,001330,117.247,119.5,D,3.9,2001
114924,001330,128,135.148,D,4.3,2001
114938,001330,184.9,189.86,D,3.9,2001
114928,001330,158.86,163.5,D,4.1,2001
114927,001330,149.92,158.86,D,3.8,2001
114920,001330,111.859,117.247,D,4,2001
114922,001330,119.5,121.092,D,3.8,2001
114937,001330,183.9,184.9,D,2.9,2001
114934,001330,179.5,181.21,D,3,2001
114929,001330,163.5,166.503,D,4,2001
114933,001330,178.75,179.5,D,4.3,2001
114952,001540,432.786,433.796,D,3.7,2001
114956,001550,0,0.245,D,1.3,2001
114953,001540,433.796,435.805,D,3.7,2001
114948,001540,312.5,317.42,D,3.7,2001
114941,001360,4.24,4.477,D,1.9,2001
114945,001540,304.715,305.365,D,3.4,2001
114951,001540,431.07,432.786,D,3.5,2001
114955,001540,506.86,507.495,D,1.7,2001
114950,001540,430.629,431.07,D,4,2001
114943,001370,4.454,4.802,D,3.6,2001
114954,001540,435.805,436.272,D,3.5,2001
114940,001360,0,0.695,D,3.7,2001
114947,001540,310.07,311.92,D,4.2,2001
114946,001540,305.365,310.07,D,4,2001
114959,001660,0,5.8,D,4.2,2001
114942,001360,5.331,5.57,D,2.6,2001
114957,001640,12.131,13.2,D,2.6,2001
114949,001540,317.42,319.88,D,3,2001
114944,001540,65.696,66.953,D,3.3,2001
114958,001640,13.2,14.65,D,2.7,2001
114962,001660,9.785,10.92,D,4.2,2001
114973,001660,45.548,49.414,D,3.7,2001
114961,001660,8.189,9.785,D,4.2,2001
114971,001660,44.1,44.888,D,3.8,2001
114965,001660,20.28,20.682,D,2.8,2001
114968,001660,29.21,33,D,2.8,2001
114979,001660,60.58,62.337,D,3.2,2001
114974,001660,49.414,50.969,D,3.3,2001
114975,001660,50.969,52,D,3.4,2001
