id,segcode,bmp,emp,direction,rutting,year
111008,001010,26.7,27.621,A,0.04,2001
111005,001010,24.839,25.991,A,0.27,2001
111009,001010,27.621,27.893,A,0.06,2001
111013,001010,35.974,38.47,A,0.16,2001
111015,001010,39.975,42,A,0.2,2001
111010,001010,27.893,28.28,A,0.05,2001
111017,001010,43,44.689,A,0.16,2001
111014,001010,38.47,39.975,A,0.25,2001
111003,001010,12.7,17.64,A,0.13,2001
111012,001010,32.64,35.974,A,0.19,2001
111002,001010,5.968,12.7,A,0.03,2001
111006,001010,25.991,26.343,A,0.18,2001
111018,001010,44.689,45.94,A,0.12,2001
111011,001010,28.28,32.64,A,0.27,2001
111001,001010,0,5.968,A,0.04,2001
111007,001010,26.343,26.7,A,0.07,2001
111004,001010,17.64,24.839,A,0.32,2001
111016,001010,42,43,A,0.2,2001
111019,001010,45.94,46.77,A,0.13,2001
111033,001010,82.23,90.053,A,0.44,2001
111034,001010,90.053,93.486,A,0.05,2001
111025,001010,53.317,54.275,A,0.17,2001
111029,001010,63.5,70.11,A,0.18,2001
111023,001010,50.14,51.808,A,0.08,2001
111026,001010,54.275,57.747,A,0.11,2001
111024,001010,51.808,53.317,A,0.18,2001
111037,001010,99.57,106.87,A,0.04,2001
111022,001010,49.351,50.14,A,0.15,2001
111027,001010,57.747,59.89,A,0.07,2001
111038,001010,106.87,109,A,0.03,2001
111031,001010,72.572,79.751,A,0.42,2001
111021,001010,49.12,49.351,A,0.19,2001
111039,001010,109,114.485,A,0.03,2001
111028,001010,59.89,63.5,A,0.28,2001
111030,001010,70.11,72.572,A,0.37,2001
111035,001010,93.486,96.153,A,0.04,2001
111020,001010,46.77,49.12,A,0.12,2001
111032,001010,79.751,82.23,A,0.38,2001
111036,001010,96.153,99.57,A,0.04,2001
111048,001010,149.5,156.2,A,0.26,2001
111055,001010,173.5,176.638,A,0.04,2001
111041,001010,120.45,121.094,A,0.04,2001
111046,001010,140.9,148.22,A,0.46,2001
111045,001010,136,140.9,A,0.47,2001
111050,001010,156.213,161.319,A,0.14,2001
111047,001010,148.22,149.5,A,0.42,2001
111049,001010,156.2,156.213,A,0.37,2001
111051,001010,161.319,164.699,A,0.11,2001
111044,001010,132.243,136,A,0.29,2001
111059,001010,194.16,200.537,A,0.19,2001
111058,001010,188.027,194.16,A,0.17,2001
111042,001010,121.094,128.154,A,0.05,2001
111057,001010,181.252,188.027,A,0.18,2001
111056,001010,176.638,181.252,A,0.05,2001
111052,001010,164.699,168.363,A,0.13,2001
111043,001010,128.154,132.243,A,0.29,2001
111053,001010,168.363,172.69,A,0.2,2001
111054,001010,172.69,173.5,A,0.19,2001
111040,001010,114.393,120.45,A,0.05,2001
111077,001020,2.002,3.4,N,0.19,2001
111069,001010,239.4,245.2,A,0.19,2001
111060,001010,200.537,207.257,A,0.17,2001
111079,001020,3.644,4.116,N,0.14,2001
111078,001020,3.4,3.644,N,0.11,2001
111070,001010,245.2,253,A,0.24,2001
111064,001010,216.037,222.48,A,0.11,2001
111071,001010,253,254.23,A,0.04,2001
111062,001010,207.75,211.203,A,0.09,2001
111073,001010,261.016,263.1,A,0.07,2001
111068,001010,229.5,239.4,A,0.27,2001
111074,001010,263.1,269,A,0.15,2001
111076,001020,0,2.002,N,0.14,2001
111061,001010,207.257,207.75,A,0.12,2001
111072,001010,254.23,261.016,A,0.07,2001
111063,001010,211.203,216.037,A,0.11,2001
111075,001010,269,275.65,A,0.15,2001
111065,001010,222.48,228,A,0.14,2001
111066,001010,228,229.3,A,0.12,2001
111067,001010,229.3,229.5,A,0.12,2001
111099,001260,38.8,40.38,A,0.22,2001
111092,001260,14.818,17.579,A,0.06,2001
111097,001260,35.853,38.236,A,0.18,2001
111087,001050,0.205,0.464,N,0.21,2001
111085,001030,1.08,3.178,N,0.21,2001
111090,001260,0,8,A,0.11,2001
111098,001260,38.236,38.8,A,0.25,2001
111095,001260,26.7,31.97,A,0.03,2001
111093,001260,17.579,22.6,A,0.04,2001
111084,001030,0,1.08,N,0.14,2001
111080,001020,4.116,4.29,N,0.21,2001
111088,001050,0.464,0.95,N,0.15,2001
111082,001021,3.644,4.062,N,0.28,2001
111086,001040,0,0.59,N,0.22,2001
111083,001021,4.062,4.36,N,0.24,2001
111081,001020,4.29,4.54,N,0.32,2001
111094,001260,22.6,26.7,A,0.05,2001
111091,001260,8,14.818,A,0.14,2001
111089,001050,0.95,1.408,N,0.13,2001
111096,001260,31.97,35.853,A,0.02,2001
111109,001270,4.08,4.568,N,0.18,2001
111113,001330,21.54,24.936,A,0.06,2001
111102,001260,48.435,53.1,A,0.17,2001
111115,001330,30.87,36.15,A,0.03,2001
111105,001260,61.066,62.85,A,0.1,2001
111100,001260,40.38,45.4,A,0.21,2001
111107,001270,2.079,2.634,N,0.13,2001
111111,001330,8.123,16.229,A,0.05,2001
111101,001260,45.4,48.435,A,0.18,2001
111112,001330,16.229,21.54,A,0.28,2001
111118,001330,46.67,54.8,A,0.09,2001
111103,001260,53.1,58.509,A,0.14,2001
111104,001260,58.509,61.066,A,0.1,2001
111114,001330,24.936,30.87,A,0.05,2001
111119,001330,54.8,57.4,A,0.1,2001
111117,001330,39.2,46.67,A,0.12,2001
111110,001330,0,8.123,A,0.03,2001
111106,001270,0,2.079,N,0.07,2001
111108,001270,2.634,2.952,N,0.15,2001
111116,001330,36.15,39.2,A,0.06,2001
111132,001330,81.9,85.6,A,0.08,2001
111120,001330,57.4,59.011,A,0.08,2001
111130,001330,75.182,76.01,A,0.26,2001
111134,001330,89.2,90.395,A,0.08,2001
111135,001330,90.395,92.5,A,0.07,2001
111136,001330,92.5,95.984,A,0.2,2001
111122,001330,63.2,64.247,A,0.24,2001
111129,001330,72.61,75.182,A,0.24,2001
111125,001330,68.763,69.378,A,0.24,2001
111133,001330,85.6,89.2,A,0.24,2001
111121,001330,59.011,63.2,A,0.11,2001
111124,001330,66.378,68.763,A,0.25,2001
111128,001330,71.598,72.61,A,0.22,2001
111138,001330,97.115,100.5,A,0.13,2001
111127,001330,71.019,71.598,A,0.14,2001
111131,001330,76.01,81.9,A,0.12,2001
111139,001330,100.5,106.5,A,0.09,2001
111123,001330,64.247,66.378,A,0.14,2001
111126,001330,69.378,71.019,A,0.22,2001
111137,001330,95.984,97.115,A,0.13,2001
111159,001330,184.9,189.86,A,0.14,2001
111156,001330,181.21,183.4,A,0.12,2001
111140,001330,106.5,111.859,A,0.15,2001
111153,001330,173,178.75,A,0.11,2001
111149,001330,158.86,163.5,A,0.14,2001
111155,001330,179.5,181.21,A,0.11,2001
111141,001330,111.859,117.247,A,0.11,2001
111142,001330,117.247,119.5,A,0.08,2001
111150,001330,163.5,166.503,A,0.27,2001
111146,001330,135.148,143.4,A,0.13,2001
111148,001330,149.92,158.86,A,0.15,2001
111143,001330,119.5,121.092,A,0.08,2001
111151,001330,166.503,167.66,A,0.27,2001
111157,001330,183.4,183.9,A,0.1,2001
111147,001330,143.4,149.92,A,0.16,2001
111154,001330,178.75,179.5,A,0.07,2001
111144,001330,121.092,128,A,0.08,2001
